"keys","en","de","uk"
"PAUSE","Pause","Pause","Пауза"
"BACK","Back","Zurück","Назад"
"QUIT_TO_MENU","Quit to Menu","Beenden und zum Hauptmenü","Вийти в меню"
"QUIT_TO_OS","Quit to OS","Beenden und zum Betriebssystem","Вийти з гри"
"OK","Okay","Okay","Добре"
,,,
"DISTANCE","Distance","Distanz","Відстань"
"TYPE","Type","Typ","Тип"
"INFORMATION","Information","Information","Інформація"
,,,
"AUTOMATIC_DRIVING","Automatic Driving","Automatische Führung","Автоматичне керування"
"SIFA","SiFa","SiFa","SiFa"
"ENFORCED_BREAKING","Enforced Breaking","Zwangsbremsung","Аварійне гальмування"
,,,
"ARRIVAL:","Arrival:","Ankunft:","Прибуття:"
"DEPARTURE:","Departure:","Abfahrt","Відправлення:"
"STATION:","Station:","Station:","Станція:"
,,,
"YOU_OVERRUN_RED_SIGNAL","ou overrun a red signal. The game is over!","Sie haben ein rotes Signal überfahren! Das Spiel ist vorbei!","Ви проїхали на червоне світло. Гра закінчена!"
"END_OF_YOUR_TRAIN_NOT_IN_STATION","The End of your Train haven't already reached the Station. Please drive a bit forward, and try it again.","Das Zugende hat nocht nicht die hintere Bahnsteigkante erreicht. Bitte fahren Sie etwas vorwärts, und halten Sie nochmal an.","Кінець поїзда не дістався станції. Будь ласка, під’їдьте трішки вперед, і спробуй знову."
"HINT_OPEN_DOORS","Hint: You have to open the doors with 'i' or 'p', to arrive at the station.","Tipp: Sie müssen noch die Türen mit ‚p‘ oder ‚i‘ öffnen.","Підказка: Ви можете відкрити двері за допомогою 'i' чи 'p', коли прибудете на станцію."
,,"Sie sind",
"YOU_ARE_LATE_1","You are","Sie haben","Ви прибули на"
"YOU_ARE_LATE_2","minutes later!","Minuten Verspätung!","хвилин(и) пізніше!"
"YOU_ARE_LATE_2_ONE_MINUTE","minute later.","Minute Verspätung.","хвилину пізніше."
,,,
"WELCOME_TO","Welcome to","Willkommen bei","Ласкаво просимо до"
"SCENARIO_FINISHED","Scenario successfully finished.","Szenario erfolgreich beendet.","Сценарій успішно закінчено."
"YOU_CAN_DEPART","You can now depart.","Sie können jetzt abfahren.","Ви готові до відправлення."
"YOU_DEPARTED_EARLIER","You departed earlier than allowed! Please wait for the depart message next time!","Sie sind zu früh abgefahren! Bitte warten sie das nächste Mal auf die Abfahrts-Nachricht","Ви відправилися занадто швидко! Будь ласка, почекайте наступного разу сповіщення про відправлення!"
"YOU_MISSED_A_STATION","You missed a station! Please drive further on to the next station.","Sie haben eine Station verpasst! Bitte fahren Sie weiter zur nächsten Station.","Ви пропустили станцію! Будь ласка, їдьте далі до наступної."
"YOU_ARE_DRIVING_TO_FAST","You are driving to fast! The current Limit is:","Sie fahren zu schnell! Das momentan geltende Limit ist:","Ви їдете занадто швидко! Ваша швидкість:"
"HINT_F2","Hint: Problems with the train? Under 'F2' you can see what is wrong","Tipp: Probleme bei der Bedienung des Zuges? Mit 'F2' kann man den Status des Zuges einsehen.","Підказка: Щось трапилося з поїздом? Натиснувши 'F2', ви зможете побачити в чому проблема."
"HINT_ADVANCED_DRIVING","Hint: Try to set the acceleration to zero with 's', and give speed (=acceleration) with 'w' again.","Tipp: Versuchen Sie, die Beschleunigung auf Null mit 's' zu setzen. Dann beschleunigen Sie wieder mit 'w'.","Підказка: Спробуйте знизити швидкість до нуля за допомогою ‘s’, і знову додати швидкості (=прискорення) за допомогою ‘w’"
,,,
"THE_NEXT_STATION_IS_1","The next station is","Die nächste Station ist","Наступна станція"
