"keys","en","de","uk"
"MENU_PLAY","Play","Spielen","Грати"
"MENU_BACK","Back","Zurück","Назад"
"MENU_CONTENT","Content","Inhalt","Вміст"
"MENU_CREATE","Create","Erstellen","Створити"
"MENU_SETTINGS","Settings","Einstellungen","Налаштування"
"MENU_QUIT","Quit","Beenden","Вийти"
"MENU_FEEDBACK_WANTED","Your Feedback wanted!","Dein Feedback ist gefragt!","Ваш відгук важливий!"
"MENU_RELOAD","Reload","Aktualisieren","Перезавантажити"
,,,
"MENU_TRACKS:","Tracks:","Strecken:","Траси:"
"MENU_SCENARIOS:","Szenarios:","Szenarien:","Сценарії:"
"MENU_TRAIN:","Train:","Zug:","Поїзди:"
,,,
"MENU_TO_ADD_CONTENT","To add content you have to place .pck files at","Um Inhalte hinzuzufügen, müssen Sie .pck Dateien hier platzieren:","Щоб додати вміст, вам потрібно вставити .pck файл сюди:"
"MENU_CURRENT_LOADED_PACKS","Currently loaded Content Packs:","Momentan geladene Pakete","Зараз завантажені такі файли:"
"MENU_HINT_UPDATED_CONTENT_PACK","Hint: If you updated a Content Pack, you have to restart the simulator.","Hinweis: Wenn Sie ein Packet aktualisieren, müssen Sie Libre TrainSim neustarten.","Порада: Якщо ви оновили вміст пакунків, вам потрібно перезапустити гру"
,,,
"MENU_MUSIC:","Music: Follow That Dream by Luca Fraula","Musik: Follow That Dream von Luca Fraula","Музика:  Follow That Dream von Luca Fraula"
,,,
"MENU_SETTINGS:","Settings:","Einstellungen:","Налаштування:"
"MENU_FULLSCREEN","Fullscreen","Vollbild","Повноекранний режим"
"MENU_MUSIC","Music","Musik ","Музика"
"MENU_SHADOWS","Shadows","Schatten","Тіні"
"MENU_VIEW_DISTANCE","View Distance","Sichtweite","Дальність огляду"
"MENU_ANTI_ALIASING","Anti-Aliasing","Anti-Aliasing","Екранне згладжування"
"MENU_FOG","Fog","Nebel","Туман"
"MENU_LANGUAGE","Language","Sprache","Мова"
,,,
,,,
"MENU_AUTHOR",,,
,,,
"MENU_LOADING","Loading…","Laden…","Завантаження..."
,,,
"MENU_LATER","Later","Später","Пізніше"
"MENU_OPEN_IN_BROWSER","Open in Webbrowser","Öffne in Webbrowser","Відкрити в браузері"
"MENU_FEEDBACK_QUESTION","\tDo you have 2 minutes left for answering a quick survey?\n\tYou would help the project a lot!","\tHaben Sie kurz Zeit eine kleine Umfrage auszufüllen?\n\tEs würde dem Projekt sehr helfen!","\tЧи маєш 2 хвилинки, щоб відповісти на коротке опитування?\n\tТи дуже допоможеш проекту!"
,,,
"MENU_NO_SCENARIO_FOUND","No Scenario data could be found. This Track is obsolete. Sadly you cant play it.","Es wurden keine Szenarien-Daten gefunden. Sie können die Strecke leider nicht spielen.","Не знайдено жодного сценарію. Ці шляхи є застарілими. Шкода, ти не зможеш зіграти."
"MENU_AUTHOR","Author","Autor","Автор"
"MENU_RELEASE","Release","Veröffentlichung","Випуск"
"MENU_DURATION","Duration","Dauer","Тривалість"
"MENU_ELECTRIC","Electric","Elektrisch","Електричний"
"MENU_EASY_MODE","Easy Mode","Einfacher Modus","Спрощений режим"
,,,
"YES","Yes","Ja","Так"
"NO","No","Nein","Ні"
